comparison_id,pattern,category,target,title_a,title_b,numbers_a,numbers_b,codes_a,codes_b
C075,sku_human_asymmetry,Электроника,1,mypads / мужская поясная сумка-борсетка-чехол mypads borsello для ...,мужская поясная сумка-борсетка-чехол mypads borsello для blackview bv6000s с несколькими отделениями на молнии и двумя большими вместительными карманами из натуральной кожи,20 | 3 | 5 | 60,186263,,bv6000s
C076,sku_human_asymmetry,Музыкальные инструменты,1,трости для сопрано саксофона vandoren v16 №3 (10 шт),трости для саксофона-альт vandoren v16 sr703,10 | 110 | 30 | 60,,,sr703
C077,sku_human_asymmetry,Музыкальные инструменты,1,"pq-6225-00 tusq верхний порожек для акустической/электрогитары, graphtech",graphtech / tusq верхний порожек для акустической/электрогитары,00 | 6225,,pq622500,
C078,sku_human_asymmetry,Музыкальные инструменты,1,"session steel natural minor e губная гармошка, seydel sohne 10313e","seydel sohne / губная гармошка, session steel natural minor e",1,1 | 10 | 20,10313e,
C079,sku_human_asymmetry,Автотовары,1,tmi tatsumi колодки тормозные tca1075,/ колодки тормозные дисковые задние toyota,0446504080 | 0446508030 | 0446521020 | 0446528510 | 0446533270 | 0446533280 | 0446533350 | 0446565020 | 0446565021,30 | 35 | 5,04465yzzea | tca1075,tca1053
C080,sku_human_asymmetry,Бытовая химия,1,dr.tuttelle стиральный порошок 983 г 20  стирок для детского белья,dr.tuttelle / порошок стиральный dr.tuttelle детский 900г dt030,1 | 20 | 983,6 | 9 | 900,,dt030
C081,sku_human_asymmetry,Хобби и творчество,1,"без бренда головоломка тетрис тонкая 27х18х0,5 см","детская развивающая головоломка тетрис 27 18 0,5 см",14 | 3 | 5,0.5 | 18 | 27 | 3 | 40 | 6759373,27х18х0,
C082,sku_human_asymmetry,Галантерея и аксессуары,1,skmei часы наручные,daniel klein / часы наручные daniel klein dk-1547-1,2023,1 | 1547 | 20 | 38 | 5 | 9,,dk15471
C083,sku_human_asymmetry,Музыкальные инструменты,1,"foix / акустическая гитара с чехлом, ремнем, тюнером, foix","ffg-4101c-bk акустическая гитара, с вырезом, черная, foix",100 | 20 | 40,1 | 4 | 43 | 6,,ffg4101cbk
C084,sku_human_asymmetry,Строительство и ремонт,1,"ambrella light трековый светильник, 10 вт",ambrella light трековый светильник ambrella xt6322022,1 | 10 | 185 | 2000 | 3,1 | 10 | 18.5 | 3 | 6,,xt6322022
C085,sku_human_asymmetry,Музыкальные инструменты,1,dasmax / mrгк-2 чехол для классической гитары 4/4,чехол для классической гитары 4/4 синий,2 | 35 | 4 | 5,4,mrгк2,
C086,sku_human_asymmetry,Строительство и ремонт,1,подвесной светильник st luce st603.243.22,st luce подвесной светильник,1 | 1.8 | 130 | 1430 | 2.11 | 22 | 243.22 | 3 | 4000 | 49,1800 | 3,12х12х49 | st603,
C087,sku_human_asymmetry,Музыкальные инструменты,1,"струны для акустической гитары orphee tx620, 010-047, фосфорная бронза",orphee / струны для акустической гитары orphee tx,010 | 047 | 1 | 25,,tx620,
C088,sku_human_asymmetry,Аптека,1,acuvue / контактные линзы акувью trueye / труай 90 шт / 9.0 / -8.00,"acuvue контактные линзы 1-day trueye, 90 шт., -8.00 / 9/ 1 день",1 | 100 | 118 | 14.2 | 45 | 46 | 8 | 8.0 | 8.00 | 9.0 | 90,1 | 118 | 14.2 | 46 | 8.00 | 9 | 90,,1day
C089,sku_human_asymmetry,Галантерея и аксессуары,1,солнцезащитные очки унисекс sf9416 dark,fila очки солнцезащитные,,0 | 145 | 18 | 200 | 2021 | 23 | 3 | 51 | 8,sf9416,fla2sf9416510c03
C090,sku_human_asymmetry,Музыкальные инструменты,1,vic firth pad 12h - тренировочный пэд,"vic firth pad12h пэд односторонний hard/ soft 12""",5 | 6724062221,12,multimedia5,pad12h
C091,sku_human_asymmetry,Электроника,1,"картридж для лазерного принтера print-rite 1809972 purple, совместимый",картридж лазерный print-rite tfxacxmprj pr-106r01571 106r01571 пурпурный (17200стр.) для xerox phaser 7800,1 | 1809972 | 600012204676 | 7800,17200 | 7800,,106r01571 | 17200стр | pr106r01571
